id,qno,file_base,pass_pct,tests_passed,tests_total,source_csv,original_filename,question_folder
b25ee037_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds011_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
s25ma002_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25ds028_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ec034_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25me007_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25mm020_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25cs034_q1,1,5,83.33,5.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,5,q1
b24ds035_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25cs038-q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
b25me013_q1,1,6,100.0,6.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,6,q1
b25ee013_q1,1,0,0.0,0.0,6.0,/home/vikrant/Project/CSL100/AutoGrader_CSL100/reports/CSL100/Prac_30Q/q1/Summary_csl100_q1.csv,0,q1
